dummy,ll1,ll2,ll3,ll4,ll5,ll6,ll7,ll8,ll9,ll10,ll11,ll12,ll13,ll14
tt93,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14
tt94,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14
tt95,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14
tt96,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14,50.14
tt97,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15
tt98,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15
tt99,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15
tt100,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15
tt101,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15
tt102,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15
tt103,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15
tt104,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16
tt105,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16
tt106,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16
tt107,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16
tt108,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16
tt109,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16
tt110,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17
tt111,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17
tt112,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17
tt113,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17
tt114,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17
tt115,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17
tt116,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17
tt117,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18
tt118,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18
tt119,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18
tt120,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18
tt121,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18
tt122,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18
tt123,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18
tt124,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19
tt125,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19
tt126,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19
tt127,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19
tt128,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19
tt129,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19,50.19
tt130,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2
tt131,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2
tt132,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2
tt133,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2
tt134,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2
tt135,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2
tt136,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2
tt137,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21
tt138,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21
tt139,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21
tt140,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21
tt141,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21
tt142,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21
tt143,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21,50.21
tt144,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22
tt145,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22
tt146,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22
tt147,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22
tt148,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22
tt149,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22,50.22
tt150,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23
tt151,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23
tt152,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23
tt153,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23
tt154,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23
tt155,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23
tt156,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23
