dummy,ll1,ll2,ll3,ll4,ll5,ll6,ll7,ll8,ll9,ll10,ll11,ll12,ll13,ll14
tt164,96175,20706,20681,30871,40577,96175,108243,137896,63736,34922,23695,27830,120593,118719
tt165,89249,9929,9252,12919,28228,89249,97153,133392,53755,29031,22522,13481,113261,106099
tt166,104814,12510,10044,10362,29617,104814,92386,132948,53903,33277,29240,10943,112430,101569
tt167,101029,16181,9827,9297,28762,101029,93134,133747,59029,38881,34236,9816,114048,101385
tt168,100322,19671,9805,9384,27859,100322,95726,134096,62826,41680,36477,10387,116602,102004
tt169,101224,23178,9863,9569,27560,101224,98695,134569,61112,43606,36736,11598,117206,102764
tt170,102384,26754,9730,9607,28453,102384,100783,135264,57887,46346,37062,12440,116175,103277
tt171,104647,30306,9725,9650,28724,104647,101546,135976,62985,49453,39359,11709,119211,103780
tt172,107374,33829,9707,9693,28496,107374,102273,137052,68362,52150,43098,10607,122135,105782
tt173,110698,38058,9977,9940,28633,110698,103762,138806,69030,54382,45638,11803,123004,108702
tt174,111755,44281,12791,12238,30998,111755,107321,142279,74275,58444,50214,15297,123517,110467
tt175,122695,55594,27082,27094,48722,122695,120726,155080,90015,72498,69642,27770,133245,123609
tt176,106380,42624,25883,30166,47934,106380,125646,160991,98807,63537,73256,27146,133886,129232
tt177,102139,26846,23467,35541,50069,102139,119423,152128,87162,41952,46035,33311,118671,126238
tt178,103585,23072,22740,36896,48588,103585,120564,140805,76798,29724,33270,37537,113883,133957
tt179,93842,28246,26670,40962,49873,93842,119515,117701,64555,23001,26070,43126,101013,133731
tt180,87328,38397,34701,47806,54788,87328,124899,102034,60210,32498,28790,53228,95143,135826
tt181,83210,41705,36917,49551,53651,83210,129795,93058,58207,35921,35049,54870,93160,136848
tt182,79055,38437,35771,50290,50157,79055,136520,86904,56063,33409,32411,53469,89132,137281
tt183,79293,38948,35567,53257,48659,79293,145006,83497,55400,32364,35809,53259,84350,139617
tt184,85045,32507,33827,51344,44753,85045,155628,89919,60658,29670,36498,47980,85921,143584
tt185,95467,32231,34673,52053,43289,95467,170612,110336,72088,26165,33746,42142,97990,149985
tt186,98875,27605,30375,49557,39867,98875,180186,129089,76728,26310,25755,34880,106352,150441
tt187,87830,21390,24296,44870,38772,87830,176727,129340,66193,29812,20842,30063,100527,140085
tt188,88896,20751,20945,38960,38518,88896,184273,134907,68600,36323,21521,23932,102533,142460
tt189,80926,11762,9125,21414,26107,80926,182342,130106,60393,31844,13686,10096,96112,136188
tt190,96731,13345,9984,20782,27495,96731,185336,129862,57923,34258,17763,11926,104062,136052
tt191,96345,15461,9811,18816,26982,96345,191474,131661,56443,37669,22823,10202,115917,139432
tt192,97982,17473,9698,16893,26807,97982,198050,133267,56646,40704,26650,9867,123924,142867
tt193,95071,20269,9722,14943,27143,95071,204903,135005,58051,41332,30307,9930,121103,146172
tt194,94165,23936,13370,11715,27642,94165,208024,136691,57024,43166,32433,9978,108500,149092
tt195,94583,27763,11908,9646,27919,94583,207683,138400,54868,45697,32878,10024,102990,150882
tt196,94937,31627,9454,9590,27712,94937,206795,140384,53459,45909,36531,10115,110896,152549
tt197,95747,37243,10093,11741,28070,95747,207911,142860,53879,46941,42418,11452,121458,154269
tt198,95406,45952,12218,16745,30255,95406,211129,147077,58392,52467,47439,15067,130637,156977
tt199,105723,58232,26854,27907,48227,105723,223536,158394,74848,67318,62821,27723,148877,168360
tt200,91039,42700,25536,29628,48754,91039,223029,160917,79063,59264,60168,28221,154911,173188
tt201,91047,25925,23401,39107,53229,91047,198019,149324,70243,38105,38888,35783,138156,169562
tt202,94172,24351,22637,44152,53594,94172,187308,134961,71429,24704,26950,38749,131318,175602
tt203,95390,29055,26709,49726,54848,95390,176729,107143,66268,25350,22995,45609,110997,170851
tt204,103799,40182,35824,57518,58776,103799,171153,86572,64534,34402,30369,53953,97538,167004
tt205,90295,39487,38710,58054,54941,90295,165763,74470,64062,36693,30745,56757,98278,165388
tt206,83090,34762,35441,54997,48142,83090,161777,66959,61033,33970,26301,55482,98042,164515
tt207,82678,39333,34204,56469,42893,82678,162814,62440,61144,35384,26041,53855,89849,168487
tt208,88097,39528,32874,55354,38228,88097,171939,69130,67116,30185,24241,50061,93323,173607
tt209,98812,35908,33423,56262,41497,98812,188676,92669,77383,25408,24973,47435,116121,179648
tt210,102264,29922,29971,53633,40354,102264,199109,115013,80673,25586,23067,36609,141065,180988
tt211,90084,23738,24800,47655,39564,90084,192976,116740,70275,28505,21116,28807,143594,171665
tt212,91409,20921,21045,41061,39444,91409,197023,122888,69123,33821,26619,26229,145796,175201
tt213,89016,9122,9134,20992,27229,89016,192003,118399,55928,27400,20102,12784,136214,169953
tt214,110673,9996,9981,19095,28860,110673,192042,116942,51264,31924,21579,13044,133240,170141
tt215,116260,10022,9748,16988,28345,116260,195203,115491,52767,35214,24568,11617,134528,174094
tt216,123170,11003,9723,15047,28113,123170,197630,113842,55283,37626,28263,10301,134027,178552
tt217,129206,12654,9773,14977,27740,129206,199858,113945,56813,40779,31773,9872,132495,183086
tt218,135072,15174,9788,14744,27315,135072,201947,116007,56390,42229,35444,9844,132313,186263
tt219,138132,17786,9822,14695,26857,138132,203714,118351,56518,44482,39286,9828,133444,188959
tt220,139049,20264,9829,15341,26633,139049,205444,119356,57415,45906,41416,9814,136443,191716
tt221,139897,27145,10140,15663,27122,139897,208366,119601,58253,48346,42210,10102,136701,194473
tt222,141242,41055,12519,17031,29779,141242,212032,121353,60531,53822,44597,12551,139452,198308
tt223,154789,55411,27067,35441,49028,154789,224768,130796,72729,68830,56149,27406,152484,210753
tt224,141055,39763,24848,37537,52592,141055,224834,131058,75186,68499,54521,29773,156124,216451
tt225,137748,25191,23509,41319,58595,137748,201539,115353,69152,42881,36841,35491,141264,213765
tt226,135496,22533,23612,45005,59844,135496,190402,103525,71442,26809,29128,37102,133180,219758
tt227,119909,25264,28686,51892,62115,119909,178644,87397,67578,22549,23003,42526,121958,211552
tt228,111899,34287,34809,61320,66762,111899,173678,80077,66214,29825,27192,51965,116219,202933
tt229,109304,35263,34490,63437,65667,109304,169669,77746,62714,29994,26279,54434,104197,196266
tt230,106836,33471,31744,61447,62053,106836,163800,77644,57300,24760,21633,53744,90140,194862
tt231,104327,37546,30700,61864,60883,104327,162616,80987,57882,23136,21581,51484,83039,199843
tt232,108429,35926,28529,61500,57089,108429,166700,89439,67403,21281,20733,47110,83384,205259
tt233,125668,32677,29466,63741,54244,125668,184454,105193,81092,23482,23689,43977,97714,209181
tt234,141781,25637,26129,63128,47804,141781,199076,116679,84013,26090,26241,36101,119324,205428
tt235,140037,21436,22967,55927,42879,140037,196067,112389,72412,24931,24615,28881,124717,190716
tt236,147509,26587,20853,49008,39819,147509,200977,115886,71730,26901,28183,24980,127001,187626
tt237,145640,24623,9079,28946,24824,145640,194362,108953,61849,16509,20688,11591,117212,175284
tt238,167770,26934,9882,25498,25375,167770,192522,108565,59359,16261,21533,11170,115393,168007
tt239,168385,26090,9667,23396,24765,168385,195986,112025,60197,18529,23589,10040,115649,163700
tt240,170985,26744,9625,21327,24644,170985,201062,115407,60633,19508,25370,9914,115644,158867
tt241,173283,27049,9673,21622,24757,173283,206254,117458,60789,19502,27375,9897,116979,154125
tt242,175134,26297,9591,19865,24862,175134,208348,118595,61358,20928,29159,9930,118211,149942
tt243,175634,26638,9485,21662,24830,175634,208436,119699,61511,21793,29471,11698,118429,145905
tt244,175684,29235,9391,22065,24832,175684,208372,120753,61105,21044,31213,13291,117071,141851
tt245,176314,31295,9639,22198,25196,176314,210575,122572,63024,24622,35011,13664,117672,137215
tt246,174951,33664,11961,21465,27616,174951,215446,126114,67684,33701,39455,15630,119590,134081
tt247,178170,47362,27438,30540,46579,178170,229548,138449,81619,51159,54946,27609,128266,140255
tt248,152725,45834,25743,33096,49840,152725,232293,143420,86363,51561,56132,28755,125266,140778
tt249,139229,36759,33126,39872,56196,139229,218007,139032,80898,35047,46876,35866,98066,134413
tt250,124022,28895,26706,43802,56616,124022,213020,136482,81889,27111,39822,41386,78982,139063
tt251,100397,22761,23568,47662,57696,100397,203044,118860,74608,22888,26126,44734,58662,136853
tt252,87761,28404,31613,51798,61899,87761,200748,102467,70192,34965,30566,53389,48397,137933
tt253,80631,34184,33674,52568,59692,80631,201295,84363,68173,39571,34866,55573,40779,138046
tt254,74335,24566,32230,49293,56671,74335,201818,71903,65628,36760,31628,53653,34692,134824
tt255,76222,24365,33352,44963,56194,76222,202062,66083,64495,36750,31398,54596,30749,131396
tt256,88947,30047,31762,42935,52644,88947,204501,70790,72281,29025,32352,49725,31890,130615
tt257,111317,27801,32235,48937,49656,111317,211175,89384,85592,24605,34049,46428,44307,133629
tt258,126414,25952,29369,46241,43557,126414,212214,106261,93366,22827,27922,37335,61397,128306
tt259,123060,22548,24158,40601,39848,123060,200977,104942,84565,21067,21322,30040,67678,114061
tt260,129963,26120,20817,37120,38017,129963,202494,112615,84536,24321,21737,25367,73549,113605
tt261,127446,17044,9114,21410,24258,127446,196397,109590,74070,17128,16017,10565,76889,104311
tt262,148637,19693,10062,21758,25329,148637,195507,109831,71088,15964,20975,11051,77545,101601
tt263,149915,23054,9934,18037,24911,149915,196262,110047,71324,13615,26583,10039,67789,102079
tt264,151068,28725,10265,16752,24751,151068,195373,109662,70693,14521,29195,9920,66282,102558
tt265,151055,34988,12392,15963,24381,151055,194562,109343,69769,16877,31821,9918,67212,103064
tt266,150606,36955,15679,13963,23900,150606,193567,108863,68809,18224,35044,9928,69284,103450
tt267,150253,37311,16180,11792,23374,150253,192098,108496,67994,19406,39174,9901,69014,103656
tt268,150420,37080,14535,9852,22967,150420,190585,109701,67889,19575,42884,9858,67746,103829
tt269,151140,37467,13877,10067,23206,151140,190429,113045,68504,18132,49534,10115,68186,103672
tt270,150689,40385,15778,12482,25536,150689,192384,118357,67990,18234,56446,12472,73687,103970
tt271,160513,53116,29803,27430,44119,160513,203242,132948,77924,32837,72301,34943,91880,113983
tt272,142920,45489,29537,27889,45688,142920,206182,140104,82795,30474,76954,35229,115630,117129
tt273,128720,35247,23862,34505,51512,128720,197087,137110,76781,24316,65030,34979,108670,111824
tt274,106368,34396,22924,38438,53746,106368,196602,132306,74628,22182,55489,37679,83402,116990
tt275,75396,32127,27834,45206,56280,75396,185880,111060,62029,22777,39466,42220,60399,114652
tt276,63610,31553,35874,55999,61439,63610,176234,94646,56271,28194,30084,51549,50074,115416
tt277,61137,27642,39161,58752,58778,61137,166799,84651,53529,29170,27226,53656,39994,115429
tt278,59345,26161,38029,56083,54068,59345,159347,79054,50601,26506,26644,51933,32501,113636
tt279,60176,30112,39583,53452,51651,60176,155388,76719,48950,24502,32012,50486,29330,113558
tt280,66083,33019,37801,49901,47605,66083,160247,83660,50819,21470,30392,43616,27573,115577
tt281,82406,37564,37007,50071,46060,82406,175923,103586,62333,23383,29689,39412,40168,120181
tt282,98704,39382,32685,47212,41468,98704,185411,122331,77197,24739,24809,34270,74480,119143
tt283,98580,35758,25304,42847,38608,98580,178377,135170,75563,22421,20638,30011,92357,107391
tt284,108063,39263,21076,37249,37562,108063,183198,146083,78395,23935,26129,27921,104544,107455
tt285,105324,30805,9215,14167,24648,105324,181002,131575,69055,13463,20250,11929,101581,97636
tt286,124115,31522,10059,10264,25494,124115,184604,125877,69342,12837,23114,17360,102120,94173
tt287,122964,32742,10369,9953,24299,122964,186863,128320,72578,12914,26851,15566,98719,94819
tt288,123130,33749,11642,9867,23286,123130,185433,131488,73223,12996,32144,12008,97569,96793
tt289,122900,34868,10621,9827,23172,122900,183393,134309,71285,14096,39725,11072,103931,98914
tt290,122699,35823,11775,10126,23456,122699,182837,137011,68768,14941,45989,9715,104155,99724
tt291,123618,36881,13425,12676,23827,123618,184093,139562,66829,15741,51007,9766,101803,99614
tt292,125538,37734,14424,15495,23606,125538,185484,143121,68018,16654,56291,9791,92504,99325
tt293,128010,39054,17616,18515,23708,128010,186815,148077,71965,18069,59577,10076,87637,100042
tt294,129933,42073,20283,22736,25824,129933,188843,155042,77866,21490,64606,12471,98739,103324
tt295,143020,56695,32865,32688,44510,143020,199488,167448,91733,36700,79669,27312,122127,116457
tt296,128789,46856,30613,25821,44267,128789,198697,169594,94460,37698,82699,28017,132279,121737
tt297,117227,28932,24562,33257,47662,117227,178593,156178,78468,29995,70413,32926,120931,118271
tt298,97466,22585,23848,41073,47106,97466,163042,141875,69761,28804,50331,34250,91655,125089
tt299,69039,27025,32858,46706,46857,69039,142955,118325,61136,24398,27504,38850,63127,123919
tt300,53686,36891,41584,49315,49542,53686,133553,103221,57657,26595,28380,48362,52167,126087
